id	word	keep	category	severity	lemma
283	jiss	keep	secretion	mild	jizz
284	jizm	keep	secretion	mild	jizz
285	jizz	keep	secretion	mild	jizz
286	juggs	keep	bodypart	mild	jugg
287	kanker	remove	sexualpractice	mild	
288	kawk	remove	sexualpractice	mild	
289	kike	remove	sexualpractice	mild	
290	kinbaku	remove	sexualpractice	mild	
291	kinkster	remove	sexualpractice	mild	
292	klootzak	remove	sexualpractice	mild	
293	knob	keep	bodypart	mild	knob
294	knobb	keep	bodypart	mild	knob
295	knobbing	keep	sexualpractice	mild	knob
296	knobbs	keep	bodypart	mild	knob
297	knobend	keep	sexualpractice	mild	knob
298	knobhead	keep	sexualperson	mild	knob
299	knobheads	keep	sexualperson	mild	knob
300	knobs	keep	bodypart	mild	knob
301	knobz	keep	bodypart	mild	knob
302	knulle	remove	sexualpractice	mild	
303	kraut	remove	racialslur	mild	
304	kuk	remove	sexualpractice	mild	
305	kuksuger	remove	sexualpractice	mild	
306	kunt	keep	bodypart	extreme	cunt
307	kunts	keep	bodypart	extreme	cunt
308	kuntz	keep	bodypart	extreme	cunt
309	kurac	remove	sexualpractice	mild	
310	kurwa	remove	sexualpractice	mild	
311	kusi	remove	sexualpractice	mild	
312	kyrpa	remove	sexualpractice	mild	
313	l3i+ch	remove	sexualpractice	mild	bitch
314	l3itch	keep	sexualorientation	strong	bitch
315	lesbo	keep	sexualorientation	mild	lesbo
316	lezzian	keep	sexualorientation	mild	lesbo
317	lipshits	keep	secretion	strong	shit
318	lipshitz	keep	secretion	strong	shit
319	lmao	keep	sexualpractice	mild	online
320	lmfao	keep	sexualpractice	mild	online
321	mamhoon	remove	sexualpractice	mild	
322	masokist	remove	sexualpractice	mild	
323	massterbait	keep	sexualpractice	mild	masturbate
324	masstrbait	keep	sexualpractice	mild	masturbate
325	masstrbate	keep	sexualpractice	mild	masturbate
326	masterbaiter	keep	sexualperson	mild	masturbate
327	masterbat	keep	sexualpractice	mild	masturbate
328	masterbat3	keep	sexualpractice	mild	masturbate
329	masterbate	keep	sexualpractice	mild	masturbate
330	masterbates	keep	sexualpractice	mild	masturbate
331	masturbat	keep	sexualpractice	mild	masturbate
332	masturbate	remove	sexualpractice	mild	masturbate
333	merd	remove	sexualpractice	mild	shit
334	mibun	remove	sexualpractice	mild	
335	milf	remove	sexualpractice	mild	
336	mofo	keep	sexualperson	mild	motherfucker
337	monkleigh	remove	sexualpractice	mild	
338	moron	remove	sexualpractice	mild	
339	morons	remove	sexualpractice	mild	
340	mothafucka	keep	sexualperson	strong	motherfucker
341	mothafuckas	keep	sexualperson	strong	motherfucker
342	mothafuckaz	keep	sexualperson	strong	motherfucker
343	mothafucker	keep	sexualperson	strong	motherfucker
344	mothafuckers	keep	sexualperson	strong	motherfucker
345	mother-fucker	keep	sexualperson	strong	motherfucker
346	motherfucker	keep	sexualperson	strong	motherfucker
347	motherfuckers	keep	sexualperson	strong	motherfucker
348	mouliewop	remove	sexualpractice	mild	
349	muff	keep	bodypart	mild	muff
350	muffdiving	keep	sexualpractice	mild	muff
351	muie	remove	sexualpractice	mild	
352	mulkku	remove	sexualpractice	mild	
353	muschi	remove	bodypart	mild	
354	n1gr	keep	racialslur	extreme	nigger
355	nambla	remove	sexualpractice	mild	
356	nastt	remove	sexualpractice	mild	
357	nawashi	remove	sexualpractice	mild	
358	nazi	remove	politicalslur	mild	
359	nazis	remove	politicalslur	mild	
360	negro	remove	racialslur	mild	
361	neonazi	remove	politicalslur	mild	
362	nepesaurio	remove	sexualpractice	mild	
363	nigga	keep	racialslur	extreme	nigger
364	niggas	keep	racialslur	extreme	nigger
365	niggaz	keep	racialslur	extreme	nigger
366	nigger	keep	racialslur	extreme	nigger
367	niggers	keep	racialslur	extreme	nigger
368	nigur	keep	racialslur	extreme	nigger
369	niiger	keep	racialslur	extreme	nigger
370	niigr	keep	racialslur	extreme	nigger
371	nimphomania	remove	sexualpractice	mild	
372	nipple	remove	bodypart	mild	
373	nipples	remove	bodypart	mild	
374	nude	remove	sexualpractice	mild	
375	nudity	remove	sexualpractice	mild	
376	nutsack	keep	bodypart	mild	sack
377	nympho	keep	sexualpractice	mild	nympho
378	nymphomania	remove	sexualpractice	mild	
379	octopussy	keep	bodypart	mild	pussy
380	omorashi	remove	sexualpractice	mild	
381	orafis	keep	bodypart	mild	orifice
382	orgasim	remove	sexualpractice	mild	orgasm
383	orgasm	remove	sexualpractice	mild	orgasm
384	orgasum	remove	sexualpractice	mild	orgasm
385	orgy	remove	sexualpractice	mild	
386	oriface	keep	bodypart	mild	orifice
387	orifice	keep	bodypart	mild	orifice
388	orifiss	keep	bodypart	mild	orifice
389	orospu	remove	sexualpractice	mild	
390	p0rn	remove	sexualpractice	mild	
391	packi	keep	racialslur	strong	paki
392	packie	keep	racialslur	strong	paki
393	packy	keep	racialslur	strong	paki
394	paedophile	remove	sexualpractice	mild	
395	paki	keep	racialslur	strong	paki
396	pakie	keep	racialslur	strong	paki
397	pakis	keep	racialslur	strong	paki
398	paky	keep	racialslur	strong	paki
399	panties	remove	sexualpractice	mild	
400	panty	remove	sexualpractice	mild	
401	paska	remove	sexualpractice	mild	
402	pecker	keep	bodypart	mild	penis
403	pedobear	remove	sexualpractice	mild	
404	pedophile	remove	sexualpractice	mild	
405	peeenus	keep	bodypart	mild	penis
406	peeenusss	keep	bodypart	mild	penis
407	peenus	keep	bodypart	mild	penis
408	peinus	keep	bodypart	mild	penis
409	pen1s	keep	bodypart	mild	penis
410	penas	keep	bodypart	mild	penis
411	penis-breath	keep	sexualobject	mild	penis
412	penus	keep	bodypart	mild	penis
413	penuus	keep	bodypart	mild	penis
414	perse	remove	bodypart	mild	
415	phuc	keep	sexualpractice	strong	fuck
416	phuck	keep	sexualpractice	strong	fuck
417	phuk	keep	sexualpractice	strong	fuck
418	phuker	keep	sexualperson	strong	fuck
419	phukker	keep	sexualperson	strong	fuck
420	libtard	new	politicalslur	mild	retard
421	libtards	new	politicalslur	mild	retard
422	cuckservative	new	politicalslur	mild	cuckservative
423	cuckservatives	new	politicalslur	mild	cuckservative
424	fac	new	sexualpractice	strong	fuck
425	fak	new	sexualpractice	strong	fuck
426	shag	new	sexualpractice	mild	shag
427	shaggin	new	sexualpractice	mild	shag
428	shagger	new	sexualperson	mild	shag
429	shagging	new	sexualpractice	mild	shag
430	shags	new	sexualpractice	mild	shag
431	shagged	new	sexualpractice	mild	shag
432	pussy	new	bodypart	mild	pussy
433	pussies	new	bodypart	mild	pussy
434	pussay	new	bodypart	mild	pussy
435	pussi	new	bodypart	mild	pussy
436	pansies	new	person	mild	pansie
437	pansy	new	person	mild	pansie
438	pansie	new	person	mild	pansie
439	wtf	new	other	mild	online
440	af	new	other	mild	online
441	prick	new	bodypart	strong	prick
442	pricks	new	bodypart	strong	prick
443	prik	new	bodypart	strong	prick
444	prikks	new	bodypart	strong	prick
445	f{1,}u{1,}c{0,}k{1,}.*	new	sexualpractice	mild	fuck
445	shi{1,}t{1,}.*	new	secretion	mild	shit
